March 9  内蒙古县界--线条类型9
0 0 0 0 0 0 0 0 0 0
116.719  49.847
116.812  49.692
116.902  49.596
117.045  49.548
117.170  49.540
117.245  49.505
117.343  49.539
117.343  49.539
117.419  49.534
117.510  49.466
117.512  49.428
117.565  49.422
117.651  49.379
117.666  49.330
15  5      1  8421504       1   65535  000 000
121.046  50.033
121.045  49.982
120.892  49.852
120.913  49.769
120.867  49.683
120.925  49.626
120.853  49.625
120.806  49.586
120.683  49.566
120.580  49.514
120.515  49.440
120.457  49.417
120.540  49.366
120.526  49.334
120.576  49.287
4  5      1  8421504       1   65535  000 000
120.350  49.361
120.274  49.308
120.158  49.270
120.000  49.452
11  5      1  8421504       1   65535  000 000
123.911  49.264
123.979  49.274
124.034  49.308
124.034  49.308
124.079  49.296
124.171  49.321
124.171  49.321
124.316  49.313
124.334  49.391
124.269  49.498
124.318  49.525
2  5      1  8421504       1   65535  000 000
120.575  49.258
120.576  49.287
10  5      1  8421504       1   65535  000 000
120.576  49.287
120.522  49.265
120.493  49.275
120.493  49.275
120.486  49.258
120.379  49.224
120.395  49.257
120.351  49.296
120.370  49.327
120.350  49.361
7  5      1  8421504       1   65535  000 000
119.632  49.209
119.680  49.263
119.719  49.275
119.717  49.318
119.806  49.331
119.863  49.431
120.000  49.452
2  5      1  8421504       1   65535  000 000
119.513  49.203
119.632  49.209
2  5      1  8421504       1   65535  000 000
123.902  49.158
123.911  49.264
4  5      1  8421504       1   65535  000 000
118.389  49.825
118.414  49.469
118.328  49.239
118.397  49.143
4  5      1  8421504       1   65535  000 000
120.000  49.149
120.090  49.134
120.358  49.170
120.575  49.258
3  5      1  8421504       1   65535  000 000
119.549  49.119
119.695  49.147
119.730  49.180
2  5      1  8421504       1   65535  000 000
119.513  49.203
119.549  49.119
6  5      1  8421504       1   65535  000 000
119.730  49.180
119.765  49.177
119.772  49.111
119.959  49.160
119.959  49.160
120.000  49.149
2  5      1  8421504       1   65535  000 000
123.559  49.073
123.617  49.042
7  5      1  8421504       1   65535  000 000
123.617  49.042
123.723  49.026
123.778  48.998
123.842  49.019
123.876  49.060
123.859  49.118
123.902  49.158
28  5      1  8421504       1   65535  000 000
122.396  49.797
122.411  49.729
122.387  49.690
122.359  49.672
122.306  49.681
122.306  49.681
122.274  49.625
122.195  49.586
122.188  49.539
122.153  49.530
122.123  49.484
122.015  49.519
122.015  49.519
122.002  49.475
121.960  49.450
121.878  49.479
121.878  49.479
121.739  49.474
121.729  49.444
121.788  49.404
121.859  49.273
121.928  49.236
121.950  49.167
122.016  49.137
122.005  49.081
121.953  49.053
122.022  49.028
122.015  48.993
6  5      1  8421504       1   65535  000 000
117.666  49.330
117.693  49.310
117.633  49.162
117.639  49.051
117.672  48.977
117.735  48.953
4  5      1  8421504       1   65535  000 000
122.015  48.993
121.988  48.964
122.076  48.890
122.060  48.860
3  5      1  8421504       1   65535  000 000
117.735  48.953
117.741  48.923
117.672  48.838
27  5      1  8421504       1   65535  000 000
122.060  48.860
122.187  48.818
122.376  48.857
122.371  48.935
122.450  48.944
122.472  48.981
122.524  48.993
122.546  49.036
122.611  49.061
122.676  49.118
122.731  49.149
122.798  49.152
122.850  49.209
123.035  49.286
123.035  49.286
123.090  49.254
123.125  49.272
123.200  49.274
123.200  49.274
123.228  49.215
123.285  49.199
123.275  49.167
123.335  49.108
123.424  49.115
123.424  49.115
123.455  49.088
123.559  49.073
6  5      1  8421504       1   65535  000 000
118.792  48.748
118.950  48.833
119.085  48.866
119.330  48.973
119.466  49.087
119.549  49.119
2  5      1  8421504       1   65535  000 000
118.397  49.143
118.792  48.748
4  5      1  8421504       1   65535  000 000
118.792  48.748
118.826  48.714
118.813  48.648
118.863  48.612
10  5      1  8421504       1   65535  000 000
122.060  48.860
122.043  48.851
122.077  48.793
122.123  48.790
122.147  48.765
122.200  48.641
122.379  48.593
122.405  48.606
122.405  48.606
122.490  48.585
11  5      1  8421504       1   65535  000 000
123.559  49.073
123.551  49.009
123.640  48.931
123.604  48.851
123.639  48.774
123.761  48.680
123.765  48.570
123.817  48.587
123.817  48.587
123.832  48.562
123.937  48.528
8  5      1  8421504       1   65535  000 000
123.937  48.528
123.996  48.517
124.069  48.539
124.069  48.539
124.118  48.516
124.235  48.535
124.235  48.535
124.257  48.523
8  5      1  8421504       1   65535  000 000
122.490  48.585
122.573  48.597
122.573  48.597
122.578  48.573
122.640  48.568
122.700  48.528
122.737  48.524
122.741  48.493
6  5      1  8421504       1   65535  000 000
122.490  48.585
122.417  48.402
122.446  48.296
122.356  48.273
122.341  48.220
122.285  48.182
13  5      1  8421504       1   65535  000 000
122.285  48.182
122.245  48.171
122.208  48.182
122.208  48.182
122.152  48.156
122.055  48.152
121.969  48.177
121.969  48.177
121.892  48.160
121.691  48.234
121.691  48.234
121.568  48.222
121.521  48.165
15  5      1  8421504       1   65535  000 000
117.672  48.838
117.658  48.825
117.704  48.777
117.688  48.767
117.718  48.704
117.668  48.662
117.640  48.476
117.595  48.437
117.569  48.364
117.631  48.253
117.604  48.201
117.631  48.133
117.667  48.106
117.725  48.101
117.801  48.014
16  5      1  8421504       1   65535  000 000
118.863  48.612
118.891  48.558
118.926  48.540
118.874  48.468
118.896  48.434
119.013  48.352
119.204  48.273
119.253  48.234
119.273  48.157
119.313  48.157
119.480  48.082
119.805  48.069
119.845  48.047
119.924  48.053
119.924  48.053
119.937  48.002
